name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Malaysia,2023-02-07,32,23.8,27.2,37.1,23.8,29.4,23.1,79.6,1.768,100,4.17,rain,0,0,11.5,15.7,309.9,1009.2,52.5,10,222.9,19,9,10,2023-02-07T07:27:23,2023-02-07T19:27:23,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48647099999,48650099999,WMSA,WMKK"
Malaysia,2023-02-08,33.7,24.8,27.8,39.8,24.8,29.9,23.3,78,10.632,100,4.17,rain,0,0,53.6,22.5,302,1008.6,50.8,9.5,186.7,16.1,9,30,2023-02-08T07:27:22,2023-02-08T19:27:30,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48647099999,48650099999,WMSA,WMKK"
Malaysia,2023-02-09,33,24.9,27.4,38.2,24.9,29.8,24.1,83.2,5.652,100,4.17,rain,0,0,6.1,17.3,226.7,1009,57.1,9.3,213.2,18.3,9,60,2023-02-09T07:27:20,2023-02-09T19:27:36,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48647099999,48650099999,WMSA,WMKK"
Malaysia,2023-02-10,31.8,25,28,38,25,31.1,24.6,82.7,1.861,100,8.33,rain,0,0,40.7,14.6,271.1,1009.3,53.1,9.5,269.9,23.2,10,60,2023-02-10T07:27:18,2023-02-10T19:27:42,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"48647099999,48650099999,WMSA,WMKK"
Malaysia,2023-02-11,30,24.3,26.3,36.1,24.3,28,23.9,87,0.023,100,4.17,rain,0,0,6.1,18.8,134.2,1009.9,50.7,9.4,121.2,10.5,9,60,2023-02-11T07:27:14,2023-02-11T19:27:47,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48647099999,48650099999,WMSA,WMKK"
Malaysia,2023-02-12,32.7,24,26.5,38.6,24,28,23.6,85.3,0.464,100,8.33,rain,0,0,5.8,12.3,317,1010.4,51.7,9.7,264.1,22.7,9,60,2023-02-12T07:27:10,2023-02-12T19:27:51,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48647099999,48650099999,WMSA,WMKK"
Malaysia,2023-02-13,32.6,23.7,26.8,37.7,23.7,28.9,23.4,82.9,0,0,0,rain,0,0,4.7,12.3,301.2,1010.6,49.1,10.1,269.1,23.3,9,60,2023-02-13T07:27:04,2023-02-13T19:27:55,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
Malaysia,2023-02-14,31.4,24.7,27.2,37,24.7,29.1,23.5,81.1,0.278,100,4.17,rain,0,0,6.5,16.6,308.7,1009.8,53.9,9.5,276.7,23.8,10,60,2023-02-14T07:26:58,2023-02-14T19:27:58,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48647099999,48650099999,WMSA,WMKK"
Malaysia,2023-02-15,33.7,24.9,28.4,36.4,24.9,29.9,21.9,70.9,0.557,100,4.17,rain,0,0,16.6,11.8,76.7,1009.9,50.6,10,175.5,15.2,8,10,2023-02-15T07:26:52,2023-02-15T19:28:00,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48647099999,48650099999,WMSA,WMKK"
Malaysia,2023-02-16,33.9,23.7,28.2,35.9,23.7,29.2,20.7,66.5,0.707,100,4.17,rain,0,0,13,12.8,101.8,1010.4,47,10.2,292.8,25.4,10,10,2023-02-16T07:26:44,2023-02-16T19:28:01,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48647099999,48650099999,WMSA,WMKK"
Malaysia,2023-02-17,33.2,24.1,28.3,36.2,24.1,30.3,21.7,69,0,0,0,rain,0,0,13.3,13.4,89.1,1010.5,50.2,10.3,264.1,22.8,9,30,2023-02-17T07:26:36,2023-02-17T19:28:02,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
Malaysia,2023-02-18,33.8,25,28.6,38,25,31.3,22.8,72.2,0,0,0,rain,0,0,25.9,16.9,327.9,1010,45.7,9.5,190.7,16.6,9,30,2023-02-18T07:26:27,2023-02-18T19:28:02,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
Malaysia,2023-02-19,32.2,24.9,27.2,38.1,24.9,28.6,23.3,80.3,0.093,100,4.17,rain,0,0,8.3,14.1,22.7,1010.5,57.8,10,228.6,19.8,10,30,2023-02-19T07:26:17,2023-02-19T19:28:01,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48647099999,48650099999,WMSA,WMKK"
Malaysia,2023-02-20,32,24.6,27,35.7,24.6,28.3,23.1,80.8,6.394,100,4.17,rain,0,0,8.3,16.6,186.4,1010.4,55.7,9.9,295,25.5,10,30,2023-02-20T07:26:06,2023-02-20T19:28:00,0,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48647099999,48650099999,WMSA,WMKK"
